not-suspicious                    非恶意流量
unknown                           未知流量
bad-unknown                       潜在的不好的流量
attempted-recon                   信息收集
successful-recon-limited          成功但有限的信息收集
successful-recon-largescale       大规模的信息收集
attempted-dos                     尝试dos攻击
successful-dos                    dos攻击成功
attempted-user                    尝试获取用户权限
unsuccessful-user                 未能成功的获取用户权限
successful-user                   成功的获取用户权限
attempted-admin                   尝试获取管理员权限
successful-admin                  成功获取用户权限
rpc-portmap-decode                RPC解码查询
shellcode-detect                  检测到可执行代码
string-detect                     恶意字符串检测
suspicious-filename-detect        恶意文件名检测
suspicious-login                  检测非法用户登陆
system-call-detect                系统调用检测
tcp-connection                    tcp连接检测
trojan-activity                   检测网络木马
unusual-client-port-connection    客户端使用非常规端口
network-scan                      检测网络扫描
denial-of-service                 检测dos
non-standard-protocol             检测非标准协议或事件
protocol-command-decode           通用协议命令解码
web-application-activity          访问可能存在漏洞的Web应用程序
web-application-attack            Web应用攻击
misc-activity                     其它活动
misc-attack                       其它攻击
icmp-event                        标准ICMP事件
kickass-porn                      色情
policy-violation                  潜在的企业的隐私违规
default-login-attempt             尝试默认用户名密码登陆
