index,app,cate,ip,optsys,bit
,,,,,
,,,,,
1,,,,,
2,,,,,
3,老OA-DB,老OA,192.168.100.28,windows 2003,32
4,WEB查询系统,WEB,192.168.100.22,windows 2003,
5,PMS-DB、DHCP、DNS,PMS/DNS,192.168.100.20,windows 2003,64
6,OA-APP/易方达造价系统,易达,192.168.100.21,windows 2003,64
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,电子监察,电子监察,192.168.100.51,windows 2003,64
15,水晶统计报表系统，新旧邮件系统备份D盘,OA,192.168.100.32,windows 2008,64
16,移动办公正文编辑器（未启用）,OA,192.168.100.82,windows 2003,64
17,人力资源(金蝶K3),,192.168.100.54,windows 2003,64
18,电子监察接口,电子监察,192.168.100.55,windows 2003,64
19,PMS培训-APP,PMS,192.168.100.56,windows 2003,64
20,外门户服务器(后台),门户,192.168.100.67,windows 2003,64
21,外门户服务器(前台),门户,192.168.100.81,windows 2003,64
22,移动办公云平台,OA,192.168.100.63,windows 2003,32
23,DMS 1.1DB,,192.168.100.72,windows 2003,32
24,备份服务器,,192.168.100.58,windows 2003,32
25,,,,,
26,测试环境数据库,OA,192.168.100.96,red hat 5.6,64
27,在线培训考试系统,在线考试,192.168.100.242,windows 2003,32
28,PMS备份服务器(VMS-server),,192.168.101.243,windows 2003,32
29,Email Server,OA,192.168.100.30,windows 2008,32
30,服务器监控系统(IBM DIRECTOR),,192.168.100.245,windows 2003,32
31,,,,,
32,正式环境portal-02（OA-APP测试）,OA,192.168.100.250,red hat 5.8,64
33,代建局档案管理系统,,192.168.100.89,windows 2008,32
34,文件服务器(文印室),,192.168.100.99,windows 2003,32
35,正式环境portal-01（PORTAL-APP测试）,OA,192.168.100.240/192.168.100.59(虚拟IP),red hat 5.8,
36,工会财务系统,,192.168.100.247,windows 2003,32
37,PMS同步备份环境,PMS,192.168.100.158,windows 2003,64
38,工程博览,工程博览,192.168.100.108,centos6.5,
39,测试应用服务器,资金系统,192.168.100.112,windows 2008,64
40,测试数据库服务器,资金系统,192.168.100.111,windows 2008,64
41,资金系统数据库服务器,资金系统,192.168.100.103,windows 2008,64
42,资金系统应用服务器,资金系统,192.168.100.100,windows 2008,64
43,资金系统应用服务器,资金系统,192.168.100.101,windows 2008,64
44,资金系统数据库服务器,资金系统,192.168.100.102,windows 2008,64
45,,,,,
46,测试环境-was,OA,192.168.100.160,red hat 5.2,64
47,测试环境-portal,OA,192.168.100.159,red hat 5.4,64
48,PMS-APP,PMS,192.168.100.77,windows 2003,64
49,协同办公平台及OA数据备份服务器,OA,192.168.100.41,windows 2003,32
50,正式环境OA-was-01,OA,192.168.100.91/192.168.100.60(虚拟IP),red hat 5.8,64
51,正式环境OA-was-02,OA,192.168.100.92,red hat 5.8,64
52,正式环境OA-数据库-02,OA,192.168.100.97,red hat 5.8,64
53,正式环境OA-数据库-01,OA,192.168.100.94,red hat 5.8,64
54,网康行为管理,网康,https://192.168.50.100,,
55,网康VPN,网康,内：https://192.168.100.118:44443/ 外：https://121.8.226.159/ 映射地址：10.148.128.51,,
56,环境监控、ftp,环境监控、ftp,192.168.100.40,,
57,移动云编辑服务器,OA,https://192.168.100.62,,
